"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"INOSITOL REQUIRING 80","INO80","General","Positive","SD and LD","Single mutant: ino80 single mutant is late flowering under LD conditions and does not flower under SD conditions. [Zhang et al., 2015]","AT3G57300","General processes & autonomous pathway","Fritsch O et al., 2004, Mol. Cellvan Attikum H et al., 2005, Cell Cyclevan Attikum H et al., 2007, EMBO J.Zhang C et al., 2015, Plant J."
"JUMONJI 14 , PKDM7B , JUMONJI 4","JMJ14, PKDM7B, JMJ4","General","Negative","SD and LD","Single mutant: jmj14 single mutant is early flowering under both SD and LD conditions. [Jeong et al., 2009][Lu et al., 2010][Yang et al., 2010][Searle et al., 2010] Remarks: JMJ14 represses the expression of FT and TSF. [Yang et al., 2010][Jeong et al., 2009][Lu et al., 2010]","AT4G20400","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Jeong J et al., 2009, PLoS ONELu F et al., 2010, Cell Res.Searle I R et al., 2010, Genes Dev.Le Masson I et al., 2012, Plant Cell"
"JUMONJI 30","JMJ30","General","Negative","SD and LD","Remarks: jmj30;jmj32 multiple mutant has reduced FLC expression levels. [Gan et al., 2014] Overexpressor: JMJ30 overexpressor is late flowering under both SD and LD conditions. [Gan et al., 2014][Lu et al., 2011][Yan et al., 2014] Multiple mutant: jmj30;jmj32 multiple mutant is early flowering under both SD and LD conditions when grown at 29C but not at 22C. [Gan et al., 2014] Single mutant: jmj30 single mutant does not display any flowering-time phenotype. [Gan et al., 2014][Lu et al., 2011][Yan et al., 2014]","AT3G20810","Temperature pathwayTime-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Jones M A et al., 2010, Proc. Natl. Acad. Sci. U.S.A.Jones M A et al., 2011, Plant Signal BehavLu S X et al., 2011, Plant Physiol.Yan Y et al., 2014, Dev. CellGan E et al., 2014, Nat Commun"
"JUMONJI 32, JUMONJI DOMAIN CONTAINING 5","JMJ32, JMJD5","General","Negative","SD and LD","Single mutant: jmj32 single mutant does not display any flowering-time phenotype. [Gan et al., 2014] Remarks: jmj30;jmj32 multiple mutant has reduced FLC expression levels. [Gan et al., 2014] Multiple mutant: jmj30;jmj32 multiple mutant is early flowering under both SD and LD conditions when grown at 29C but not at 22C. [Gan et al., 2014]","AT3G45880","General processes & autonomous pathway","Gan E et al., 2014, Nat Commun"
"JUMONJI DOMAIN-CONTAINING PROTEIN 15, MATERNAL EFFECT EMBRYO ARREST 27","JMJ15, MEE27","General","Negative","SD and LD","Single mutant: jmj15 single mutant does not display any flowering-time phenotype. [Yang et al., 2012] Remarks: JMJ15 is involved in demethylation at theFLC locus. [Yang et al., 2012] Overexpressor: JMJ15 overexpressor is early flowering under both SD and LD conditions. [Yang et al., 2012]","AT2G34880","General processes & autonomous pathway","Yang W et al., 2010, Plant J.Yang H et al., 2012, Plant Cell Rep.Shen Y et al., 2014, Front Plant Sci"
"KNUCKLES","KNU","Flower development and meristem identity",,"None","Single mutant: knu single mutant does not display any flowering-time phenotype but shows temperature-dependent floral defects. knu single mutant has normal inflorescence at 16C but is male-sterile at 25C. [Payne et al., 2004]","AT5G14010",,"Payne T et al., 2004, DevelopmentSun B et al., 2009, Genes Dev.Sun B et al., 2014, Science"
"LATE ELONGATED HYPOCOTYL","LHY","Circadian Clock Photoperiodism, light perception and  signaling","Negative","SD only","Single mutant: lhy single mutant is early flowering under SD conditions only. [Mizoguchi et al., 2002] Multiple mutant: lhy;cca1 double mutant is early flowering under both SD and LD conditions. Surprisingly, the double mutant is late flowering under continous light. [Mizoguchi et al., 2002][Fujiwara et al., 2008] Overexpressor: LHY overexpressor is late flowering under both SD and LD conditions. [Mizoguchi et al., 2002]","AT1G01060","Circadian clock overview","Schaffer R et al., 1998, CellAlabadí D et al., 2001, ScienceMizoguchi T et al., 2002, Dev. CellAlabadí D et al., 2002, Curr. Biol.Kim J et al., 2003, EMBO J.Fujiwara S et al., 2008, Plant CellLu S X et al., 2009, Plant Physiol.Dong M A et al., 2011, Proc. Natl. Acad. Sci. U.S.A."
"LATE FLOWERING","LATE","Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Overexpressor: LATE overexpressor is late flowering under LD conditions, especially when expressed in a phloem-specific manner (SUC2 promoter). ( No data available under SD conditions.) [Weingartner et al., 2011] Remarks: Remarks Remarks: LATE is thought to be involved in the regulation of flowering-time genes expression in leaf vasculature. It is also involved in flower development. [Weingartner et al., 2011]","AT5G48890","Photoperiod pathway","Payne T et al., 2004, DevelopmentWeingartner M et al., 2011, Plant J."
"LATE MERISTEM IDENTITY 1 , HOMEOBOX 51","LMI1, HB51","Flower development and meristem identity",,"None","Multiple mutant: lmi1 mutation enhance the meristem identity defects of the weak lfy-10 allele but do not display any flowering-time phenotype. [Saddic et al., 2006]","AT5G03790",,"Saddic L A et al., 2006, DevelopmentGrandi V et al., 2012, Plant J."
"LATE MERISTEM IDENTITY2 , MYB DOMAIN PROTEIN 17","LMI2, MYB17","Flower development and meristem identity",,"None","Single mutant: lmi2 single mutant display meristem developmental defects, leading to an increase of cauline leaves and secondary inflorescences .[Pastore et al., 2011] Multiple mutant: lmi2 mutation increases the phenotype of the weak leafy-10 mutant, thus phenocopying the lfy-1 null mutant. lmi2 mutation also increases the phenotype of the lfy-1 null mutant. [Pastore et al., 2011] Remarks: Some lmi2 mutants display a very subtle delay in flowering time under LD conditions. ( No data under SD conditions.) [Pastore et al., 2011]","AT3G61250",,"Pastore J J et al., 2011, Development"
"LEAFY","LFY","Flower development and meristem identity Flowering time integrator","Positive","SD and LD","Single mutant: leafy single mutant has partial transformation of lateral flower meristems into inflorescence branches. [Weigel et al., 1992][ et al., ][Mandel et al., 1992][Kempin et al., 1995][Ingram et al., 1995][Jofuku et al., 1994] Overexpressor: LEAFY overexpressor is slightly early flowering under both SD and LD conditions. The primary shoots of LEAFY overexpressor is converted in a terminal flower. [Weigel et al., 1995][Blázquez et al., 1997][Ferrándiz et al., 2000]","AT5G61850","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwaySugar pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expressionSpecification of flower mersitemsVernalization","Weigel D et al., 1992, CellWeigel D et al., 1995, NatureBlázquez M A et al., 1997, DevelopmentWilliam D A et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Eriksson S et al., 2006, Plant CellLee J et al., 2008, Plant J.Hamès C et al., 2008, EMBO J.Sayou C et al., 2014, Science"
"LEUNIG","LUG","Flower development and meristem identity",,"None","Single mutant: leunig single mutant has homeotic defects in the two outer whorls of the flower. [Liu et al., 1995] Remarks: LEUNIG, together with SEUSS, regulates the expression of MIR172. LEUNIG and SEUSS were shown to interact both in vitro and in vivo. [Grigorova et al., 2011][Sridhar et al., 2004] Remarks: LEUNIG is required for the repression of AGAMOUS expression during flower development. [Liu et al., 1995] Multiple mutant: seuss;leunig double mutant shows enhanced homeotic floral defects. [Franks et al., 2002][Sridhar et al., 2004]","AT4G32551","Mains targets of ABC(E)genes","Liu Z et al., 1995, DevelopmentSieburth L E et al., 1997, Plant CellChen C et al., 2000, GenesisConner J et al., 2000, Proc. Natl. Acad. Sci. U.S.A.Liu Z et al., 2000, Plant CellFranks R G et al., 2006, PlantaGonzalez D et al., 2007, Mol. Cell. Biol.Sitaraman J et al., 2008, Plant Physiol.Stahle M I et al., 2009, Plant CellGrigorova B et al., 2011, DevelopmentWalker M et al., 2011, Plant Physiol."
"LHP1-INTERACTING FACTOR","LIF2","General","Negative","SD and LD","Single mutant: lif2 single mutant is early flowering under both SD and LD conditions. [Latrasse et al., 2011]","AT4G00830","FLC regulation through protein complexesGeneral processes & autonomous pathway","Latrasse D et al., 2011, PLoS ONE"
"LIGHT-REGULATED WD 1, ANTHOCYANIN11","LWD1, ATAN11","Circadian Clock","Negative","SD and LD","Multiple mutant: lwd1;lwd2 multiple mutant is early flowering under both SD and LD conditions. [Wu et al., 2008] Single mutant: lwd1 single mutant does not display any flowering-time phenotype. [Wu et al., 2008] Remarks: LWD1 and LWD2 proteins show 90% amino acid identity. [Wu et al., 2008]","AT1G12910","Circadian clock overview","Wu J et al., 2008, Plant Physiol.Wang Y et al., 2011, Plant Cell"
"LIGHT-REGULATED WD 2","LWD2","Circadian Clock","Negative","SD and LD","Multiple mutant: lwd1;lwd2 multiple mutant is early flowering under both SD and LD conditions. [Wu et al., 2008] Single mutant: lwd2 single mutant does not display any flowering-time phenotype. [Wu et al., 2008] Remarks: LWD1 and LWD2 proteins have 90% amino acid identity. [Wu et al., 2008]","AT3G26640","Circadian clock overview","Wu J et al., 2008, Plant Physiol.Wang Y et al., 2011, Plant Cell"
"LIGHT-RESPONSE BTB 1","LRB1","Vernalization","Positive","SD and LD","Multiple mutant: lrb1;lrb2 multiple mutant is late flowering under both SD and LD conditions. [Christians et al., 2012] Remarks : lrb1;lrb2 multiple mutant diplays pleiotropic defects in photomorphogenic processes, including seed germination, chlorophyll accumulation, and shade avoidance. [Christians et al., 2012]","AT2G46260","Vernalization","Christians M J et al., 2012, Plant Physiol.Hu X et al., 2014, Plant Cell"
"LIGHT-RESPONSE BTB 2, POZ/BTB CONTAININ G-PROTEIN 1","LRB2, POB1","Vernalization","Positive","SD and LD","Multiple mutant: lrb1;lrb2 multiple mutant is late flowering under both SD and LD conditions. [Christians et al., 2012] Remarks : lrb1;lrb2 multiple mutant diplays pleiotropic defects in photomorphogenic processes, including seed germination, chlorophyll accumulation, and shade avoidance. [Christians et al., 2012]","AT3G61600","Vernalization","Christians M J et al., 2012, Plant Physiol.Hu X et al., 2014, Plant Cell"
"LOV KELCH PROTEIN 2","LKP2","Circadian Clock Photoperiodism, light perception and  signaling","Positive","LD only","Multiple mutant: lkp2;ztl multiple mutant is early flowering under both SD and LD conditions as compared to ztl single mutant. [Imaizumi et al., 2005] Overexpressor: LKP2 overexpressor is late flowering under LD conditions only. [Takase et al., 2011][Schultz et al., 2001] Single mutant: lkp2 single mutant does not display any flowering-time phenotype. [Takase et al., 2011][Imaizumi et al., 2005]","AT2G18915","Circadian clock overviewPhotoperiod pathway","Schultz T F et al., 2001, Plant CellYasuhara M et al., 2004, J. Exp. Bot.Fornara F et al., 2009, Dev. CellBaudry A et al., 2010, Plant CellTakase T et al., 2011, Plant J.Ito S et al., 2012, Mol Plant"
"LSD1-LIKE 1","LDL1","General","Positive","SD [no data under LD]","Single mutant: ldl1 single mutant is late flowering under LD conditions.( No data available under SD conditions.) [Jiang et al., 2007] Multiple mutant: ldl1;ldl2 multiple mutant is late flowering under LD conditions. [Jiang et al., 2007][Shafiq et al., 2014]","AT1G62830","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Jiang D et al., 2007, Plant CellShafiq S et al., 2014, New Phytol.Berr A et al., 2015, Plant J."
"LSD1-LIKE 2","LDL2","General","Positive","SD [no data under LD]","Single mutant: ldl2 single mutant is not late flowering under LD. ( No data available under SD conditions.)[Jiang et al., 2007] Multiple mutant: ldl1;ldl2 multiple mutant is late flowering under LD conditions. [Jiang et al., 2007][Shafiq et al., 2014][Caro et al., 2012]","AT3G13682","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Jiang D et al., 2007, Plant CellShafiq S et al., 2014, New Phytol.Berr A et al., 2015, Plant J."
"LUMINIDEPENDENS","LD","General","Positive","SD and LD","Single mutant: ld single mutant is late flowering under both SD and LD conditions. [ et al., ][Lee et al., 1994] Remarks: ld single mutant has increased FLC expression levels. [Michaels et al., 1999]","AT4G02560","General processes & autonomous pathway","Lee I et al., 1994, Plant CellMichaels S D et al., 1999, Plant CellAukerman M J et al., 1999, Plant J."
"LUX ARRHYTHMO, PHYTOCLOCK 1","LUX, PCL1","Circadian Clock","Negative","SD and LD","Single mutant: lux single mutant is early flowering under SD conditions.( Conflicting results about the flowering time of lux single mutant under LD conditions) [Hazen et al., 2005][Onai et al., 2005]","AT3G46640","Temperature pathwayCircadian clock overview","Hazen S P et al., 2005, Proc. Natl. Acad. Sci. U.S.A.Onai K et al., 2005, Genes CellsEdwards K D et al., 2006, Plant CellHelfer A et al., 2011, Curr. Biol."
"MADS AFFECTING FLOWERING 2 , AGAMOUS-LIKE 31","MAF2, AGL31","Ambient temperature","Negative","SD and LD","Overexpressor: MAF2 overexpressor is late flowering under both SD and LD conditions. [Ratcliffe et al., 2003][Rosloski et al., 2013] Single mutant: maf2 single mutant is early flowering under SD and LD conditions. [Ratcliffe et al., 2003][Rosloski et al., 2013][Gu et al., 2013][Kim et al., 2013] Remarks: MAF2 prevents flowering in response to short cold periods.[Ratcliffe et al., 2003] Remarks: MAF2 is also regulated through alternative splicing events.","AT5G65050","Temperature pathwayFLC regulation during a cold period","Ratcliffe O J et al., 2001, Plant Physiol.Ratcliffe O J et al., 2003, Plant CellRosloski S M et al., 2013, Plant Mol. Biol.Suter L et al., 2014, Plant Physiol."
"MADS AFFECTING FLOWERING 3 , AGAMOUS-LIKE 70","MAF3, AGL70","Vernalization","Negative","SD and LD","Single mutant: maf3 single mutant is very slightly early flowering under both SD and LD conditions. [Gu et al., 2013] / Overexpressor: Conflicting results. MAF3 overexpressor is late flowering under 12h-light - 12-h dark SD conditions in the Ler background but early flowering in the Col-0 background. [Ratcliffe et al., 2003]","AT5G65060","FLC regulation during a cold period","Ratcliffe O J et al., 2001, Plant Physiol.Ratcliffe O J et al., 2003, Plant CellGu X et al., 2013, Nat CommunSuter L et al., 2014, Plant Physiol."
"MADS AFFECTING FLOWERING 4 , AGAMOUS-LIKE 69","MAF4, AGL69","Vernalization","Negative","SD and LD","Single mutant: maf4 single mutant is slightly early flowering under both SD and LD conditions. ( mmaf4af4 single mutant shows increased sensitivity to a vernalizing treatment of 20 days.)[Kim et al., 2013][Gu et al., 2009][Kang et al., 2015][Gu et al., 2013][Gu et al., 2013] Overexpressor: Conflicting results. MAF4 overexpressor is late flowering under 12h-light/12-h dark SD conditions in the Ler background but early flowering in the Col-0 background. [Ratcliffe et al., 2003]","AT5G65070","FLC regulation during a cold period","Ratcliffe O J et al., 2001, Plant Physiol.Ratcliffe O J et al., 2003, Plant CellKim D et al., 2010, Proc. Natl. Acad. Sci. U.S.A.Xu Y et al., 2013, Plant Signal BehavShen L et al., 2014, Development"
"MADS AFFECTING FLOWERING 5 , AGAMOUS-LIKE 68","MAF5, AGL68","Vernalization","Negative","SD only","Single mutant: maf5 single mutant is slightly early flowering under SD conditions only. ( maf5 single mutant shows increased sensitivity to a vernalizing treatment of 20 days.) [Kim et al., 2013][Kang et al., 2015] Overexpressor: MAF5 overexpressor is late flowering under 12h-light - 12-h dark SD conditions in the Ler background but not in the Col-0 background. [Ratcliffe et al., 2003]","AT5G65080","FLC regulation during a cold period","Ratcliffe O J et al., 2001, Plant Physiol.Ratcliffe O J et al., 2003, Plant CellKim D et al., 2010, Proc. Natl. Acad. Sci. U.S.A.Xu Y et al., 2013, Plant Signal BehavShen L et al., 2014, Development"
"MEDIATOR 12, CENTER CITY, CRYPTIC PRECOCIOUS","MED12, CCT, CRP","General","Positive","LD only","Overexpressor: MED12 overexpressor does not display any flowering-time phenotype. [Imura et al., 2012] Single mutant: med12 single mutant is late flowering under LD conditions only. [Imura et al., 2012] Remarks: med12 single mutant has increased FLC expression levels. [Gillmor et al., 2014]","AT4G00450","General processes & autonomous pathway","Gillmor C S et al., 2010, DevelopmentIto J et al., 2011, Plant Cell Physiol.Imura Y et al., 2012, Plant Cell Physiol.Gillmor C S et al., 2014, Development"
"MEDIATOR 13, GRAND CENTRAL, MACCHI-BOU 2","MED13, GCT, MAB2","General","Positive","LD only","Single mutant: med13 single mutant is late flowering under LD conditions only. [Gillmor et al., 2014][Imura et al., 2012] Remarks: med13 single mutant shows increased FLC expression levels. [Gillmor et al., 2014]","AT1G55325","General processes & autonomous pathway","Gillmor C S et al., 2010, DevelopmentIto J et al., 2011, Plant Cell Physiol.Imura Y et al., 2012, Plant Cell Physiol.Gillmor C S et al., 2014, Development"
"MEDIATOR 16, SENSITIVE TO FREEZING 6","MED16, SFR6","General","Positive","LD [no data under SD]","Single mutant: med16 single mutant is late flowering under LD conditions. ( No data available under SD conditions.) [Knight et al., 2008][Yang et al., 2014] Remarks: MED16 regulates the expression of the circadian clock components CCA1, GI and TOC1. [Knight et al., 2008]","AT4G04920","General processes & autonomous pathway","Knight H et al., 1999, Plant CellBoyce J M et al., 2003, Plant J.Knight H et al., 2008, Plant Physiol.Knight H et al., 2009, Plant J.Wathugala D L et al., 2012, New Phytol.Zhang X et al., 2013, Plant J.Hemsley P A et al., 2014, Plant Cell"
"MEDIATOR 18","MED18","General","Positive","SD and LD","Single mutant: med18 single mutant is late flowering under both SD and LD conditions. [Zheng et al., 2013][Lai et al., 2014] Remarks: med18 single mutant has increased FLC expression levels. [Zheng et al., 2013] Overexpressor: MED18 overexpressor is early flowering. No information about photoperiod. [Zheng et al., 2013]","AT2G22370","General processes & autonomous pathway","Zheng Z et al., 2013, PLoS ONELai Z et al., 2014, Nat Commun"
"METHYL-CPG-BINDING DOMAIN 9","MBD9","General","Negative","LD [no data under SD]","Remarks: atmbd9 single mutant has reduced FLC expression levels. [Peng et al., 2006] Single mutant: atmbd9 single mutant is early flowering under LD conditions.( No data available under SD conditions.) [Peng et al., 2006][Yaish et al., 2009]","AT3G01460","General processes & autonomous pathway","Peng M et al., 2006, Plant J.Yaish M W F et al., 2009, Plant J."
"MICRORNA156A","MIR156A","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT2G25095","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156B","MIR156B","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT4G30972","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156C","MIR156C","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT4G31877","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156D","MIR156D","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT5G10945","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156E","MIR156E","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT5G11977","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156F","MIR156F","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT5G26147","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156G","MIR156G","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT2G19425","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA156H","MIR156H","Aging","Negative","SD and LD","Overexpressor: Overexpression of MIR156 delays flowering under both SD and LD conditions. [Schwab et al., 2005][Gandikota et al., 2007][Schwarz et al., 2008][Wang et al., 2008][Wu et al., 2006] Target mimicry : Diminution of miR156 activity by target mimicry accelerates flowering under both SD and LD conditions. [Wang et al., 2009][Kim et al., 2012] Remarks: miR156 downregulates the expression of SPLs and its expression is repressed by sugar. [Rhoades et al., 2002][Yu et al., 2013][Yang et al., 2013]","AT5G55835","OverviewHormone pathwayAging pathwaySugar pathway","Schwab R et al., 2005, Dev. CellWu G et al., 2006, DevelopmentGandikota M et al., 2007, Plant J.Wang J et al., 2008, Plant CellWang J et al., 2009, CellWu G et al., 2009, CellYu S et al., 2012, Plant CellYu S et al., 2013, ElifeYang L et al., 2013, ElifeStief A et al., 2014, Plant Cell"
"MICRORNA172A","MIR172A","Aging Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: MIR172 overexpressor is early flowering under both SD and LD conditions. [Aukerman et al., 2003][Jung et al., 2007][Jung et al., 2012][Jung et al., 2011][Lee et al., 2010][Yant et al., 2010] Target mimicry : Diminution of miR172 activity by target mimicry delays flowering. ( Diminution of miR172 activity also leads to flower defects.) [Galvão et al., 2012][ et al., ][Wollmann et al., 2010] Remarks : The expression of MIR172 is regulated both by GIGANTEA and gibberellins. [Jung et al., 2007][Galvão et al., 2012]","AT2G28056","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwaySugar pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expression","Park W et al., 2002, Curr. Biol.Aukerman M J et al., 2003, Plant CellSchwab R et al., 2005, Dev. CellZhao L et al., 2007, Plant J.Jung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Wu G et al., 2009, CellZhu Q et al., 2011, J. Exp. Bot.Cho H J et al., 2012, FEBS Lett."
"MICRORNA172B","MIR172B","Aging Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: MIR172 overexpressor is early flowering under both SD and LD conditions. [Aukerman et al., 2003][Jung et al., 2007][Jung et al., 2012][Jung et al., 2011][Lee et al., 2010][Yant et al., 2010] Target mimicry : Diminution of miR172 activity by target mimicry delays flowering. ( Diminution of miR172 activity also leads to flower defects.) [Galvão et al., 2012][ et al., ][Wollmann et al., 2010] Remarks : The expression of MIR172 is regulated both by GIGANTEA and gibberellins. [Jung et al., 2007][Galvão et al., 2012]","AT5G04275","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwaySugar pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expression","Park W et al., 2002, Curr. Biol.Aukerman M J et al., 2003, Plant CellSchwab R et al., 2005, Dev. CellZhao L et al., 2007, Plant J.Jung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Wu G et al., 2009, CellZhu Q et al., 2011, J. Exp. Bot.Cho H J et al., 2012, FEBS Lett."
"MICRORNA172C","MIR172C","Aging Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: MIR172 overexpressor is early flowering under both SD and LD conditions. [Aukerman et al., 2003][Jung et al., 2007][Jung et al., 2012][Jung et al., 2011][Lee et al., 2010][Yant et al., 2010] Target mimicry : Diminution of miR172 activity by target mimicry delays flowering. ( Diminution of miR172 activity also leads to flower defects.) [Galvão et al., 2012][ et al., ][Wollmann et al., 2010] Remarks : The expression of MIR172 is regulated both by GIGANTEA and gibberellins. [Jung et al., 2007][Galvão et al., 2012]","AT3G11435","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwaySugar pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expression","Park W et al., 2002, Curr. Biol.Aukerman M J et al., 2003, Plant CellSchwab R et al., 2005, Dev. CellJung J et al., 2007, Plant CellWu G et al., 2009, Cell"
